Player,Pos,Team,Age,Min,Skill / Pot,ETV
Jesper Lindstrøm,FW,Everton,25-055,1239.0,70.6 / 73.7,€24.4M
Joachim Andersen,DF,Fulham,28-329,2133.0,78.6 / 78.6,€32.9M
Joe Aribo,"MF,DF",Southampton,28-278,1909.0,63.3 / 64.1,€8M
Joelinton,"MF,FW",Newcastle Utd,28-254,2393.0,77.0 / 77.0,€45.7M
John McGinn,"MF,FW",Aston Villa,30-189,1992.0,77.0 / 77.0,€21.6M
Jordan Ayew,"FW,MF",Leicester City,33-226,1310.0,65.5 / 66.4,€4.5M
Jordan Pickford,GK,Everton,31-049,2970.0,75.3 / 75.3,€23.8M
Joshua Zirkzee,"FW,MF",Manchester Utd,23-338,1402.0,73.5 / 80.1,€43.3M
José Sá,GK,Wolves,32-098,2250.0,69.9 / 69.9,€8.6M
João Gomes,MF,Wolves,24-072,2601.0,71.4 / 77.2,€51.1M
João Pedro,"FW,MF",Brighton,23-211,1948.0,71.0 / 78.5,€61.3M
Joël Veltman,DF,Brighton,33-100,1643.0,74.8 / 74.8,€5.9M
Joško Gvardiol,DF,Manchester City,23-092,2917.0,79.4 / 91.0,€77.4M
Justin Kluivert,"MF,FW",Bournemouth,25-355,2026.0,79.3 / 81.7,€44.3M
Jørgen Strand Larsen,FW,Wolves,25-078,2387.0,72.5 / 76.7,€30.3M
Kai Havertz,"FW,MF",Arsenal,25-318,1839.0,85.1 / 89.1,€70M
Kalvin Phillips,MF,Ipswich Town,29-144,1214.0,66.6 / 66.7,€17.3M
Kamaldeen Sulemana,"FW,MF",Southampton,23-069,1045.0,65.6 / 71.7,€18.5M
Kaoru Mitoma,"FW,MF",Brighton,27-340,2493.0,80.2 / 80.2,€49.2M
Keane Lewis-Potter,"DF,FW",Brentford,24-062,2714.0,71.8 / 77.4,€27.3M
Kenny Tete,DF,Fulham,29-198,1348.0,70.7 / 71.6,€13.4M
Kepa Arrizabalaga,GK,Bournemouth,30-204,2340.0,72.2 / 75.0,€11.4M
Kevin De Bruyne,"MF,FW",Manchester City,33-301,1455.0,84.9 / 84.9,€20.4M
Kevin Schade,FW,Brentford,23-149,1931.0,71.1 / 76.5,€29.7M
Kieran Trippier,DF,Newcastle Utd,34-218,1102.0,69.5 / 69.5,€4.5M
Kobbie Mainoo,MF,Manchester Utd,20-006,1352.0,68.8 / 87.2,€54.8M
Konstantinos Mavropanos,DF,West Ham,27-135,1854.0,68.8 / 69.2,€19.1M
Kristoffer Ajer,DF,Brentford,27-008,1388.0,71.9 / 72.1,€21.5M
Kyle Walker-Peters,DF,Southampton,28-012,2738.0,65.5 / 67.6,€16.6M
Leandro Trossard,FW,Arsenal,30-142,2264.0,79.5 / 79.5,€31.8M
Leif Davis,DF,Ipswich Town,25-103,2563.0,67.0 / 73.9,€28.4M
Leny Yoro,DF,Manchester Utd,19-163,979.0,70.5 / 88.1,€66.2M
Leon Bailey,"FW,MF",Aston Villa,27-259,1138.0,76.2 / 77.5,€38.6M
Lesley Ugochukwu,MF,Southampton,21-030,1357.0,62.1 / 74.4,€27.1M
Levi Colwill,DF,Chelsea,22-058,2699.0,78.1 / 91.4,€59.8M
Lewis Cook,"MF,DF",Bournemouth,28-081,2707.0,72.7 / 73.6,€19.5M
Lewis Dunk,DF,Brighton,33-155,1903.0,69.6 / 71.0,€7.1M
Lewis Hall,DF,Newcastle Utd,20-229,2189.0,72.1 / 88.0,€36.1M
Liam Delap,FW,Ipswich Town,22-076,2354.0,65.8 / 75.1,€33M
Lisandro Martínez,DF,Manchester Utd,27-097,1751.0,73.0 / 74.5,€49.2M
Lucas Bergvall,MF,Tottenham,19-082,1122.0,67.0 / 83.0,€31.3M
Lucas Digne,DF,Aston Villa,31-279,2241.0,71.2 / 71.2,€14.8M
Lucas Paquetá,"MF,FW",West Ham,27-241,2167.0,76.0 / 78.0,€73.5M
Luis Díaz,FW,Liverpool,28-102,2150.0,86.5 / 86.5,€69.3M
Luke Woolfenden,DF,Ipswich Town,26-186,1007.0,65.0 / 68.3,€2M
Mads Hermansen,GK,Leicester City,24-288,2295.0,62.5 / 70.5,€19.2M
Malo Gusto,DF,Chelsea,21-341,1819.0,75.6 / 88.2,€36.1M
Manuel Akanji,DF,Manchester City,29-280,1711.0,79.9 / 82.7,€43.7M
Marc Cucurella,DF,Chelsea,26-277,2538.0,75.7 / 78.7,€39.6M
Marc Guéhi,DF,Crystal Palace,24-286,2879.0,79.0 / 83.7,€48.9M
Marcos Senesi,DF,Bournemouth,27-350,1008.0,69.2 / 70.7,€20.3M
Marcus Rashford,"FW,MF",Manchester Utd,27-176,978.0,79.1 / 79.2,€58.6M
Marcus Tavernier,"FW,MF",Bournemouth,26-034,1561.0,71.8 / 74.8,€24.4M
Mark Flekken,GK,Brentford,31-316,2825.0,72.0 / 72.0,€13.9M
Martin Ødegaard,MF,Arsenal,26-129,2040.0,89.2 / 92.9,€125.8M
Mateo Kovačić,MF,Manchester City,30-354,1960.0,77.7 / 77.7,€25.3M
Mateus Fernandes,MF,Southampton,20-289,2499.0,61.5 / 79.1,€22.5M
Matheus Cunha,"MF,FW",Wolves,25-333,2253.0,80.9 / 83.2,€62.6M
Matheus Nunes,"DF,MF",Manchester City,26-241,1404.0,71.6 / 72.7,€42.3M
Matt Doherty,DF,Wolves,33-099,1818.0,68.1 / 68.1,€4M
Matthijs de Ligt,DF,Manchester Utd,25-256,2089.0,75.6 / 82.9,€50.8M
Matty Cash,DF,Aston Villa,27-261,1710.0,74.9 / 74.9,€32.8M
Matz Sels,GK,Nott'ham Forest,33-058,2970.0,72.7 / 73.4,€10.2M
Max Kilman,DF,West Ham,27-337,2898.0,72.3 / 72.3,€39.3M
Maxence Lacroix,DF,Crystal Palace,25-019,2756.0,76.4 / 80.0,€25.8M
Micky van de Ven,DF,Tottenham,24-006,950.0,71.1 / 79.1,€62M
Mikel Merino,"MF,FW",Arsenal,28-307,1401.0,74.6 / 74.6,€39.7M
Mikkel Damsgaard,"MF,FW",Brentford,24-296,2495.0,73.4 / 78.0,€28.6M
